X,Y,Env,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,L41,L42,L43,L44,L45,L46,L47,L48,L49,L50,L51,L52,L53,L54,L55,L56,L57,L58,L59,L60,L61,L62,L63,L64,L65,L66,L67,L68,L69,L70,L71,L72,L73,L74,L75,L76,L77,L78,L79,L80,L81,L82,L83,L84,L85,L86,L87,L88,L89,L90,L91,L92,L93,L94,L95,L96,L97,L98,L99,L100
555717.5912,4952326.904,0,2,2,1,1,2,1,2,2,2,1,2,0,1,1,1,0,0,1,2,1,2,1,0,0,1,1,1,0,2,1,0,1,2,2,1,0,0,2,1,1,2,2,1,1,0,2,0,1,0,2,0,2,1,0,0,1,2,2,0,2,1,2,1,2,1,1,1,1,1,0,0,2,0,2,1,0,0,1,0,1,2,1,1,0,0,2,1,0,1,0,2,2,1,0,1,0,0,1,2,0
565377.593,4970559.158,0,1,1,2,0,0,2,0,0,1,1,2,2,2,1,2,2,1,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,2,1,2,1,0,2,2,0,0,2,2,0,2,2,0,0,0,0,2,1,0,0,2,1,1,1,1,2,0,1,2,2,1,0,2,0,0,1,2,2,0,2,2,2,2,1,0,0,1,1,0,2,2,1,1,2,0,1,2,1,2
517846.7246,4936015.528,0,0,2,0,0,1,2,0,1,1,1,0,2,1,0,1,0,2,1,1,2,2,0,1,0,2,2,1,2,2,2,2,0,1,2,2,1,0,0,1,2,1,2,2,2,1,2,2,1,1,1,0,1,1,1,0,2,1,2,1,1,0,1,0,2,0,1,2,1,0,1,2,1,0,2,2,0,0,1,0,1,2,2,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,2,0,0
550252.6726,4942986.895,0,1,2,1,1,2,1,1,2,1,1,1,1,2,0,2,0,0,2,0,1,0,0,2,1,2,1,2,0,0,1,2,1,1,0,0,2,1,0,1,1,1,2,0,2,0,1,0,0,1,0,1,2,1,0,0,2,1,1,0,1,0,2,2,1,1,2,1,2,1,1,1,0,1,0,1,0,0,1,2,1,1,0,1,2,2,1,0,0,0,0,2,2,1,1,1,0,1,2,1,2
496188.5938,4967199.084,5,2,2,1,0,2,1,2,0,2,0,2,0,0,2,2,0,0,2,2,1,0,0,2,2,1,1,1,2,1,0,2,0,2,0,1,2,1,1,2,2,1,1,2,0,0,2,0,0,1,0,1,2,1,2,2,0,2,1,2,1,2,2,0,1,2,1,2,0,0,2,0,1,1,1,1,1,1,2,2,0,2,0,2,0,2,0,1,1,1,1,2,0,2,2,1,2,2,2,1,1
484120.5088,4982937.84,5,2,1,2,1,2,2,0,2,2,0,0,1,0,2,1,1,0,2,1,2,1,0,2,0,1,2,1,0,1,1,2,1,1,2,1,0,1,1,0,0,2,1,1,0,2,2,2,0,0,0,0,0,2,0,2,0,2,2,1,1,1,1,2,2,1,2,1,2,2,0,1,0,2,2,2,2,2,1,2,0,2,0,0,0,2,0,1,1,0,1,1,2,0,0,0,2,1,1,2,1
510487.812,4988521.838,5,2,2,1,0,2,2,2,2,1,1,1,0,0,1,2,0,1,1,1,0,1,1,2,1,0,1,0,1,2,0,1,0,1,2,1,1,2,1,1,0,2,1,1,1,2,1,1,0,0,0,1,0,2,1,2,1,1,0,2,0,1,0,1,1,1,2,2,2,2,2,2,0,2,0,1,1,1,0,1,1,0,2,2,0,2,0,0,1,1,1,1,0,0,1,0,0,0,2,1,1
547606.2499,4941355.583,0,0,2,2,2,2,2,1,2,0,2,1,1,2,0,1,1,1,2,2,2,1,0,0,0,2,0,1,1,1,2,2,1,2,0,0,1,1,1,0,2,1,2,0,1,1,0,0,1,2,2,1,2,0,0,1,1,1,2,0,0,2,2,0,1,1,2,2,1,1,1,1,1,0,1,2,2,1,1,2,0,1,1,2,2,1,2,1,1,2,0,0,2,0,2,1,0,2,2,2,2
480589.2398,4917547.535,5,0,1,2,1,0,2,2,0,2,1,1,0,0,2,2,2,0,2,0,2,2,1,2,0,1,0,1,2,1,1,0,0,2,1,2,1,1,2,1,1,0,2,0,0,1,1,2,1,0,0,0,1,0,0,2,2,0,0,1,1,2,0,1,0,0,1,2,2,0,0,1,2,1,1,2,0,0,0,1,1,2,2,1,0,0,1,1,0,0,2,0,0,2,1,1,1,2,2,2,1
542799.8705,4955438.487,5,1,2,2,0,1,2,2,2,0,2,1,1,2,1,2,2,2,0,0,2,0,1,2,0,0,0,0,2,2,2,0,1,2,1,1,1,1,0,2,1,2,2,2,2,0,0,1,0,1,0,0,1,1,0,1,1,2,0,1,1,1,2,2,1,2,1,0,2,2,1,0,2,0,0,1,1,1,0,1,1,2,2,1,2,1,1,1,0,2,0,1,1,1,2,1,1,0,1,2,1
493548.7498,4971933.41,0,1,2,2,1,2,2,2,1,1,0,1,0,0,2,2,0,1,2,2,1,0,1,1,1,2,1,2,1,0,1,2,1,2,2,1,2,0,0,2,1,1,1,2,1,1,1,0,0,1,1,0,2,1,0,2,0,0,0,2,0,2,1,1,0,0,1,2,1,2,0,2,0,1,1,1,1,1,2,1,1,2,0,0,1,1,1,2,1,0,1,2,1,0,0,0,1,1,2,2,1
522245.7982,4913265.593,0,1,2,1,0,2,2,1,1,0,0,1,0,0,1,0,1,0,1,2,2,2,0,0,0,2,2,2,1,0,2,1,2,2,1,2,0,0,0,0,1,0,1,2,1,1,2,2,0,0,1,0,1,1,1,2,0,1,2,2,2,2,2,0,2,0,1,1,1,0,1,2,0,0,0,2,1,0,0,0,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1,1,2,1,2,0,2
518485.8774,4950159.601,0,0,2,1,0,2,1,2,1,2,1,0,0,1,1,1,0,2,1,1,1,2,2,1,0,0,1,2,2,2,2,2,2,1,0,1,2,0,1,1,1,2,2,2,1,0,2,0,1,0,1,0,0,1,1,0,1,1,0,1,0,2,2,0,0,1,2,2,1,0,1,1,2,2,0,1,0,2,1,1,1,2,1,1,2,0,1,2,0,0,2,2,2,0,1,1,1,1,2,1,2
556610.6983,4951496.302,0,1,1,1,0,2,1,1,2,2,0,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,1,0,1,2,1,1,1,1,1,1,0,1,2,2,0,1,2,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,2,0,2,1,0,0,2,1,2,0,1,1,1,1,0,2,1,1,1,1,2,0,2,0,0,1,1,2,2,1,1,0,2,2,2,1,0
550926.2799,4927214.554,0,2,2,1,1,1,2,2,0,1,2,2,0,2,2,1,2,0,2,1,2,2,2,0,1,2,2,0,0,2,2,1,1,1,2,1,2,2,2,2,1,0,2,1,2,0,1,0,1,0,2,0,2,1,1,0,1,1,1,1,0,1,2,1,2,2,2,2,0,1,0,0,2,0,2,1,1,1,1,2,1,2,1,0,0,2,2,0,0,1,0,2,1,1,1,0,2,1,2,1,2
563339.2449,4941195.608,0,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,2,0,2,0,0,1,1,0,2,2,0,0,1,1,1,1,1,2,2,0,2,2,1,0,1,2,2,1,2,0,2,0,1,0,0,2,2,2,1,1,1,0,2,1,2,0,2,0,0,1,1,2,1,0,1,2,1,1,2,0,1,2,1,0,1,2,2,1,2,1,0,0,0,1,0,2,2,0,1,2,1,0,1,2,2
515453.0464,4958944.393,5,2,1,1,1,0,2,1,1,0,2,1,1,2,2,1,1,2,1,2,2,2,2,1,0,1,1,1,2,0,2,2,0,1,2,2,2,0,2,0,1,0,2,2,1,0,2,1,0,1,0,1,2,1,1,0,1,2,1,1,0,0,0,1,1,1,2,1,2,0,0,0,1,0,2,2,1,2,1,2,1,2,2,0,0,0,0,2,0,1,1,2,1,0,2,0,0,1,2,1,1
507561.8041,4973356.584,5,2,2,1,1,2,2,1,1,0,1,1,1,0,1,1,0,1,2,1,1,2,1,1,0,2,2,0,2,1,1,1,0,1,1,1,1,0,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,0,1,1,0,1,2,1,1,1,2,1,2,1,0,1,0,1,1,2,2,0,2,1,2,2,1,2,2,1,1,0,0,2,1,0,1,2,0,0,1,2,0,0,1,2,2,2
567937.1341,4954162.817,5,2,0,2,0,0,0,2,1,1,1,0,0,2,0,0,2,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,2,2,1,1,0,0,1,1,1,1,1,2,0,2,0,1,0,0,2,1,2,0,0,2,0,2,0,2,0,2,1,1,1,1,1,1,1,0,0,2,1,1,2,0,2,1,0,0,1,1,2,1,1,0,1,1,1,0,2,1,2,1,2,0,0,2,2,2
502335.6599,4995949.134,5,1,2,0,1,1,2,1,1,1,0,2,1,0,0,1,0,0,0,2,2,2,2,0,0,1,0,1,2,1,0,2,1,2,0,1,2,1,1,2,1,2,1,0,0,2,2,2,1,1,0,1,0,1,0,2,0,1,1,2,0,0,1,0,1,1,0,1,2,2,1,2,1,2,1,2,0,1,1,2,1,2,0,1,1,1,2,0,0,1,2,2,1,1,0,0,0,1,2,1,2
555504.1385,4934302.71,5,2,1,1,2,1,2,2,1,0,2,1,2,2,1,1,1,0,2,1,1,2,1,1,1,1,0,0,0,2,2,2,2,1,1,1,2,1,2,2,0,0,1,2,1,0,2,1,1,1,1,2,2,2,1,0,2,1,2,0,0,1,2,0,1,2,1,2,1,0,0,1,2,0,2,1,0,0,1,1,1,2,0,1,2,1,1,0,0,2,0,2,1,1,0,0,1,1,2,1,1
479998.6707,4921313.419,5,0,2,2,2,0,0,2,0,1,1,1,1,0,2,1,2,0,0,2,2,1,2,2,1,1,1,2,2,1,2,0,1,2,1,2,2,1,2,2,1,1,1,1,0,0,1,2,2,0,1,0,1,1,0,2,2,0,1,1,1,1,0,1,0,0,1,1,1,1,1,2,2,0,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,2,1,1,1,2
561807.5039,4986264.414,5,2,0,2,0,0,2,1,2,2,0,0,0,2,2,1,0,0,1,2,2,1,2,0,1,1,1,2,2,1,0,1,0,1,2,0,2,1,1,2,1,1,2,2,2,2,2,1,1,1,0,1,2,0,2,0,0,1,2,1,1,1,0,1,2,2,2,1,2,1,1,2,1,1,2,1,0,1,1,2,0,2,2,1,2,1,1,0,2,1,0,2,2,1,0,2,0,2,1,1,1
497716.5603,4953222.022,5,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,0,1,1,2,2,2,1,1,1,0,1,1,0,2,1,0,1,2,1,0,1,2,1,0,1,2,1,2,2,0,2,0,1,1,1,1,1,1,0,1,0,2,1,1,2,1,1,0,2,1,1,1,1,1,0,1,2,0,0,2,0,1,2,0,1,1,2,0,1,2,0,1,0,2,1,1,2,0,1,1,1,1,0,2,2
522904.0419,4911530.221,0,0,2,2,2,2,2,2,1,1,1,1,2,0,0,2,1,0,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,1,1,1,0,1,1,1,0,2,2,2,0,0,0,1,0,0,0,1,1,1,2,1,0,1,0,1,1,2,2,0,1,0,1,2,2,0,0,0,2,2,1,0,2,0,0,2,2,1,1,0,0,0,1,1,1,1,1,1,1,2,2,1
499881.0912,4983894.535,5,1,2,0,1,1,1,1,2,2,2,1,0,0,0,2,0,1,2,1,1,0,0,2,1,0,1,1,2,0,0,0,1,0,0,0,0,1,1,1,0,2,1,1,1,1,1,2,0,1,1,1,2,0,0,0,1,1,0,2,0,2,0,0,1,0,2,2,1,2,0,2,1,1,1,2,0,2,0,1,0,1,0,0,1,1,1,2,1,1,2,2,0,1,0,0,1,1,1,1,1
499509.8652,4953751.725,0,0,2,2,0,2,1,1,1,2,1,1,0,1,0,2,0,1,1,1,0,1,0,2,2,1,2,0,1,1,1,0,2,2,0,2,0,1,2,1,2,2,0,1,1,0,2,0,1,0,1,0,2,0,1,1,2,1,2,2,0,1,0,1,0,2,0,0,1,1,0,1,2,1,0,2,1,0,1,1,0,2,1,2,0,1,2,2,1,2,1,1,1,0,1,2,1,1,0,2,1
563109.217,4992150.939,5,2,2,2,0,1,1,0,2,1,2,2,0,2,0,1,0,2,2,2,1,2,2,1,1,0,1,1,1,1,0,1,1,2,0,0,0,1,1,1,2,1,2,1,1,1,2,0,2,1,0,0,2,1,2,1,1,1,2,1,1,0,1,0,2,1,0,2,0,2,1,1,1,0,2,0,1,1,1,2,1,2,1,2,2,0,0,1,1,1,0,2,2,1,0,2,1,2,2,2,0
520288.6737,4920319.854,0,0,0,1,1,1,2,2,2,0,1,0,2,2,2,2,1,1,0,0,1,0,0,2,1,1,2,0,1,0,2,1,2,1,1,2,2,2,0,2,2,2,1,1,2,1,2,2,1,1,0,0,2,0,0,0,1,2,1,0,0,1,0,1,2,0,1,2,1,1,1,2,1,0,0,2,0,0,2,1,1,1,0,1,0,2,2,2,1,0,0,0,0,0,1,2,1,0,1,0,2
528124.6115,4952759.746,0,1,0,2,1,1,2,1,1,2,2,1,0,2,0,1,1,1,2,2,2,2,2,2,0,2,1,1,0,0,0,1,1,2,2,2,1,2,1,2,0,1,2,1,1,0,2,1,1,0,0,0,2,1,1,1,2,2,0,1,0,0,2,1,2,1,0,0,0,1,0,0,1,1,2,1,0,2,1,1,1,2,1,2,1,1,0,1,0,2,1,2,0,2,1,0,0,1,2,1,1
539182.4244,4947865.366,5,1,0,1,0,2,1,2,2,2,2,0,1,2,1,2,2,1,1,2,1,1,0,1,1,1,0,0,0,1,2,1,0,2,0,1,2,0,0,1,2,0,0,2,1,0,0,0,0,2,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,2,2,0,0,0,2,0,1,1,2,0,1,1,0,1,2,0,0,0,1,2,1,0,1,0,2,2,1,1,0,0,0,2,2,2
494618.7756,4952001.768,5,0,0,2,1,2,1,2,1,1,2,0,0,1,0,1,2,1,0,1,2,1,1,1,0,1,1,1,1,1,0,0,1,1,2,2,1,0,2,2,2,1,0,1,2,0,1,0,1,1,1,1,2,0,0,2,1,2,1,0,0,1,2,1,1,0,2,1,1,0,0,1,2,1,1,2,1,2,1,2,0,2,1,2,1,0,2,2,0,1,1,2,0,0,1,2,0,1,1,0,1
488689.4384,4983047.963,5,2,1,1,2,2,2,1,0,1,2,0,1,0,2,2,2,1,1,0,1,2,2,1,0,1,1,1,2,1,0,0,0,1,1,1,0,0,2,2,1,0,2,2,1,0,2,0,2,0,0,0,1,1,0,2,1,1,2,1,1,2,0,2,1,0,1,1,2,2,0,2,0,1,2,2,1,1,1,0,2,0,0,0,1,2,0,0,0,1,1,2,1,0,0,0,1,0,1,1,1
504304.362,4952452.029,5,0,1,2,1,1,1,1,2,0,2,0,0,2,0,2,2,0,1,2,1,1,2,2,0,0,1,1,1,2,1,1,2,2,1,2,2,1,0,2,2,2,1,0,2,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,2,1,0,1,1,1,1,2,2,1,0,1,1,1,2,2,1,2,2,1,1,1,0,1,1,1,1,0,1,1,1,2,1,0,1,1,0,1,0,1,1
523596.3737,4971565.978,5,1,1,2,1,2,1,2,2,1,2,1,1,0,2,1,1,1,1,2,1,2,2,1,1,1,0,2,1,2,1,0,1,2,1,0,2,1,1,0,1,1,1,0,1,1,1,2,2,0,1,1,1,0,1,1,1,1,1,2,1,2,2,1,0,0,2,2,2,1,1,1,2,2,2,2,0,2,1,0,2,2,2,1,0,1,1,1,1,2,2,1,2,2,0,0,1,1,0,2,1
484795.7177,4922394.742,5,0,2,0,1,1,1,2,1,0,1,0,2,0,2,2,2,0,1,0,0,1,1,2,1,1,1,1,2,0,1,2,2,2,2,0,1,0,2,2,2,1,2,1,1,1,1,1,1,0,0,2,0,0,0,1,1,0,0,1,0,2,0,2,1,0,0,2,2,1,2,2,1,0,1,2,0,1,1,0,1,2,1,1,0,0,0,2,0,0,2,0,0,2,2,2,1,1,1,2,0
483819.5352,4936090.492,0,0,2,1,2,1,0,1,1,1,2,0,2,0,0,2,0,1,1,0,1,2,0,2,2,1,1,0,1,0,0,2,1,2,1,1,1,2,2,0,0,2,2,2,2,0,2,1,2,1,0,1,2,0,2,2,1,1,2,1,0,1,0,1,1,0,2,2,1,1,1,2,2,1,0,2,1,2,0,0,0,2,2,2,1,1,0,2,1,1,1,2,1,0,2,0,1,1,1,2,2
527229.5045,4935904.102,0,1,1,0,0,0,1,0,2,0,2,1,1,2,1,1,0,0,0,1,2,0,2,2,1,1,2,1,0,0,1,1,2,2,1,0,2,0,2,0,1,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,1,0,2,1,0,2,1,1,1,2,1,0,1,2,2,2,1,0,1,2,2,2,1,1,0,2,0,1,1,1,1,1,0,1,1,2,2,1,2,0,1,0,2,1,1
545653.2843,4968577.111,0,2,1,2,0,2,2,2,1,2,2,0,0,2,1,2,0,2,1,1,2,2,2,0,0,1,0,0,1,0,1,1,1,1,1,2,1,1,2,2,0,2,1,1,0,0,2,0,1,2,0,2,2,2,0,0,0,1,2,0,0,0,2,0,2,1,0,1,0,2,1,1,1,0,2,1,1,1,2,2,1,1,2,1,0,0,0,0,0,1,1,2,2,1,1,0,0,1,1,2,2
569038.5012,4966173.152,0,2,1,2,0,0,1,1,0,1,2,0,0,1,0,1,2,0,2,2,2,0,1,2,0,1,1,1,0,1,1,1,0,0,1,0,2,1,1,2,1,1,1,2,2,1,1,0,0,1,1,0,2,1,0,1,1,1,2,2,0,2,2,0,2,1,2,1,0,1,0,2,1,0,2,1,0,0,2,2,1,2,1,0,1,1,1,0,1,1,0,2,1,2,2,2,0,2,2,1,2
478951.9212,4978200.669,5,0,2,0,1,0,1,1,2,2,2,1,0,1,0,2,1,2,1,2,2,2,1,2,2,2,1,2,1,0,1,0,0,1,0,0,1,1,2,1,0,2,2,2,1,2,2,1,1,0,1,0,1,2,0,2,1,2,1,2,1,2,1,2,0,0,1,1,1,1,1,0,1,1,2,2,1,0,0,1,1,2,1,1,1,2,1,0,0,1,1,0,1,0,1,0,1,2,1,2,1
558181.9339,4986348.496,0,2,2,1,1,0,2,1,2,1,1,1,0,2,0,1,1,2,2,2,1,0,2,0,1,0,1,1,0,1,1,2,0,1,2,0,0,1,1,1,2,0,1,2,0,0,1,1,0,0,2,1,2,2,0,0,1,0,2,1,0,1,0,0,1,1,1,0,1,0,2,1,0,1,2,0,0,1,1,2,1,2,2,2,1,1,0,0,1,2,0,0,1,2,1,1,1,2,1,2,1
538664.7207,4952496.701,5,2,1,2,1,0,2,2,0,1,2,1,0,0,0,0,1,0,2,1,1,1,1,1,0,1,1,1,1,0,1,1,0,2,1,1,1,0,1,2,2,1,2,1,0,1,2,1,0,1,1,1,1,1,1,1,2,0,2,1,1,0,1,0,2,2,1,0,0,1,1,0,2,1,2,1,0,2,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,1,1,0,0,0,2,1,2
538610.6178,4951040.778,5,1,1,2,1,2,1,1,0,1,1,2,1,2,0,1,0,0,2,1,2,1,1,0,0,1,2,0,1,1,2,1,0,0,1,1,1,1,0,2,1,2,1,2,1,0,1,1,1,0,1,0,1,0,1,0,0,1,2,1,1,0,1,2,1,2,0,1,2,1,0,0,1,0,1,2,1,1,1,1,2,1,2,2,1,1,0,1,1,2,0,2,2,1,1,1,1,0,2,1,1
523921.8873,4956981.821,5,2,1,1,1,0,2,1,2,2,2,0,0,2,0,2,1,1,2,1,2,0,1,0,1,2,1,0,0,1,1,1,0,1,1,1,2,0,1,1,0,0,2,2,1,0,1,2,0,1,0,0,2,2,0,1,1,2,0,1,1,2,2,0,2,1,2,0,0,1,0,0,1,1,1,2,0,2,2,0,2,2,0,2,1,2,1,0,1,1,1,2,0,2,2,1,0,1,2,2,1
488686.3976,4917788.721,5,0,2,1,2,0,2,2,2,1,2,1,1,2,2,0,1,0,0,1,1,2,2,1,1,1,0,0,2,0,1,0,0,2,1,1,2,2,2,0,1,1,2,0,1,1,2,2,1,0,2,2,1,0,1,0,1,0,0,1,1,2,1,1,1,1,1,2,2,0,1,2,2,1,1,2,1,0,2,0,0,2,1,0,2,0,0,2,0,2,1,1,1,2,0,1,0,1,1,2,0
494683.5994,4989336.215,5,2,1,1,2,2,2,2,2,2,2,2,0,1,1,1,1,0,2,2,2,1,1,2,1,2,2,2,1,0,2,1,0,0,1,0,0,2,2,1,1,2,2,0,0,2,1,1,0,0,0,2,2,0,2,1,1,2,1,2,2,2,2,2,2,0,1,2,1,1,0,1,0,2,2,2,1,2,1,2,2,2,1,0,0,2,1,2,2,0,2,1,1,0,0,0,0,2,0,2,2
562746.8652,4940814.323,0,1,2,2,0,2,1,1,0,2,2,2,2,2,1,1,2,0,1,0,1,1,0,0,2,2,0,0,0,0,1,2,0,1,2,1,2,1,1,2,2,1,2,2,0,0,2,2,1,0,0,1,2,2,1,2,0,0,1,0,0,0,2,1,2,1,2,2,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,1,2,1,1,0,0,1,0,2,2,0,1,0,1,0,2,2,2
543523.981,4909286.827,0,0,2,1,1,2,1,1,2,0,2,0,2,2,2,2,2,1,0,0,2,2,0,0,0,0,2,1,1,1,0,2,0,2,1,2,2,2,0,1,2,0,0,1,1,0,0,0,1,0,1,2,1,1,1,1,2,2,1,2,1,0,2,0,2,1,0,2,1,2,2,0,1,0,2,1,1,1,2,0,1,2,1,0,2,0,2,1,1,1,0,2,2,1,0,0,0,1,1,1,2
566234.1822,4950149.631,0,2,0,2,0,1,2,0,1,1,1,1,1,1,0,2,1,0,1,1,2,1,1,0,1,2,1,0,1,0,2,1,0,0,2,0,2,1,2,0,1,0,0,1,1,0,2,1,0,1,0,2,2,1,1,0,0,0,1,1,0,0,2,2,1,1,1,1,2,0,1,2,2,1,2,1,0,1,1,1,0,1,2,2,1,0,1,0,1,0,0,2,2,1,0,2,2,1,2,1,1
549968.8264,4937255.041,5,1,2,2,1,1,1,0,2,1,2,2,1,0,0,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,0,0,1,2,0,2,2,2,2,2,0,2,0,0,0,0,1,2,2,2,2,0,1,1,1,1,2,0,1,2,1,2,2,0,1,0,1,0,1,2,0,1,1,1,1,1,1,0,1,1,2,2,1,1,1,1,1,0,2,1,0,1,0,1,2,1,2,0
540773.0046,4936646.406,0,2,2,1,2,0,0,1,1,1,2,2,1,0,1,0,1,1,2,1,2,1,2,0,0,2,1,1,0,2,1,1,1,0,0,0,2,1,1,2,1,2,2,1,2,0,0,0,0,1,1,1,2,1,1,0,1,1,2,0,0,1,2,1,2,2,2,2,0,0,2,2,2,0,2,1,1,1,1,1,1,2,0,1,2,0,1,1,1,2,0,2,1,0,0,1,0,2,2,2,2
