"Country","Breed","Species"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Aubrac","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","Bazadais","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BlondeAquitaine","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","BretPieNoire","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Charolais","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Gascon","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","Limousin","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","MaineAnjou","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Montbeliard","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
"FR","Salers","BT"
